,movieId,title,listed_in,ratings,Prome_Raitings
241,ds57,rookie of the year,"comedy, family, sports",243,4.43
242,ns5046,fred armisen: standup for drummers,"music & musicals, stand-up comedy",243,4.43
243,ns505,the war next-door,"international tv shows, spanish-language tv shows, tv comedies",247,4.43
244,as2770,craig ferguson presents: hobo fabulous,tv shows,241,4.43
245,as1918,kung fu punch of death,action,249,4.43
246,hs2428,cake wars,"cooking & food, family, lifestyle & culture",256,4.43
247,ds311,pixar popcorn,"animation, anthology, family",241,4.43
248,as2025,jim henson's jack and the beanstalk: the real story,"adventure, fantasy",242,4.43
249,hs2278,the bob newhart show,"classics, comedy, family",247,4.43
250,ds285,american dragon: jake long,"action-adventure, animation, comedy",247,4.43
251,hs2448,devils' line,"action, adventure, anime",287,4.43
252,ns487,ratchet and clank,"children & family movies, comedies, sci-fi & fantasy",252,4.43
253,as203,v1 murder case (telugu),"action, suspense",259,4.43
254,ns3967,the highwaymen,dramas,247,4.43
255,hs2495,bajo el mismo cielo,"drama, latino",246,4.43
256,ds226,x-men: the last stand,"action-adventure, family, science fiction",249,4.43
257,hs2300,support the girls,"black stories, comedy, drama",242,4.43
258,as6507,transmigrate (the troubled one),"horror, suspense",244,4.43
259,ns3620,i'm brent morin,stand-up comedy,256,4.43
260,as1988,just friends,"comedy, lgbtq",250,4.43
261,as2002,joshy,comedy,258,4.43
262,hs2114,bem,anime,250,4.43
263,ns4909,goodnight dj 1,"international tv shows, tv dramas, tv horror",253,4.43
264,ds460,surviving the mount st. helens disaster,"animals & nature, documentary",246,4.43
265,ns4904,black crows,"international tv shows, tv dramas",253,4.43
266,as5462,bland larceny,comedy,250,4.43
267,hs2137,i trapped the devil,"drama, horror",249,4.43
268,ns494,resident evil: infinite darkness,"anime series, tv horror, tv thrillers",241,4.43
269,as2636,doe,suspense,251,4.43
270,hs2161,clique,"drama, thriller",245,4.43
271,as5421,"lock him up, tie me down","comedy, drama",249,4.43
272,as2703,dead boss,comedy,242,4.43
273,as6483,maayanadhi,romance,250,4.43
274,hs2205,professional fighters league,sports,268,4.43
275,ns3796,after maria,documentaries,249,4.43
276,hs2231,the prospects,"documentaries, sports",247,4.43
277,ns3968,the legend of cocaine island,documentaries,245,4.43
278,hs1960,catherine the great,"drama, history",248,4.43
279,as5012,penelope,romance,246,4.43
280,ns3474,the k2,"international tv shows, korean tv shows, romantic tv shows",245,4.43
281,hs2764,24 legacy,"action, crime, drama",251,4.43
282,ds1362,three days,"drama, fantasy",264,4.43
283,as6765,r.e.g.i.n.a. i am,"arts, entertainment, and culture, comedy, science fiction",253,4.43
284,ns5273,veggietales in the city,kids' tv,269,4.43
285,as1788,lucy and desi: a home movie,documentary,258,4.43
286,as2919,captain calamity,action,250,4.43
287,hs2771,please like me,"comedy, drama, international",253,4.43
288,ns4802,what we started,"documentaries, music & musicals",244,4.43
289,ds1378,toy story,"action-adventure, animation, buddy",241,4.43
290,as2938,c u soon (4k uhd),"drama, suspense",247,4.43
291,hs1908,dark was the night,horror,246,4.43
292,as6830,age of heroes,"action, drama",247,4.43
293,hs2847,oh my venus,"comedy, drama, international",260,4.43
294,hs2855,chivalry of a failed knight,"action, adventure, anime",241,4.43
295,ds1236,teen beach movie,"coming of age, fantasy, musical",246,4.43
296,hs185,this world alone,"drama, science fiction",264,4.43
297,hs2741,a certain magical index,"adventure, anime",258,4.43
298,hs2730,boruto: naruto next generations,"action, adventure, anime",242,4.43
299,ns5112,myths & monsters,"british tv shows, docuseries",269,4.43
300,ns7674,operation odessa,documentaries,242,4.43
301,ns8163,tellur aliens,children & family movies,257,4.43
302,hs2551,black spurs,"action, adventure",248,4.43
303,as2047,jeff dunham: achmed saves america,"arts, entertainment, and culture, comedy, special interest",246,4.43
304,as6625,the campaign,drama,246,4.43
305,ns515,cuckoo,"british tv shows, international tv shows, tv comedies",248,4.43
306,ns5163,saving capitalism,documentaries,252,4.43
307,ns3573,the girl allergic to wi-fi,"international movies, romantic movies",243,4.43
308,ns3994,the unmarried wife,"dramas, international movies, romantic movies",242,4.43
309,hs2727,the kennedys (2015),"comedy, drama, international",250,4.43
310,as2860,chisholm '72: unbought & unbossed,documentary,243,4.43
311,ns3541,moving art,"docuseries, science & nature tv",258,4.43
312,ns731,cobra kai - the afterparty,movies,246,4.43
313,as5131,911 nightmare,suspense,242,4.43
314,as5126,corporate prey,"action, drama, science fiction",252,4.43
315,ns3535,the spy,"international tv shows, tv dramas, tv thrillers",250,4.43
316,ds1396,twitches too,"comedy, fantasy",252,4.43
317,ds838,disney stuck in the middle,"comedy, coming of age, family",264,4.43
318,ns4371,the tribe,"comedies, international movies",262,4.43
319,as9577,the a-team,action,241,4.43
320,as3890,dead end,drama,253,4.43
321,as1257,princesses of the world,documentary,249,4.43
322,ns677,riverdale,"crime tv shows, tv dramas, tv mysteries",241,4.43
323,as856,supa strikas - a goal in one!,"animation, documentary, kids",245,4.43
324,ns1667,alien xmas,children & family movies,257,4.43
325,ns4246,tim allen: rewires america,stand-up comedy,249,4.43
326,as7647,bloodthirsty,"horror, science fiction, suspense",254,4.43
327,ns6101,age gap love,"british tv shows, reality tv, romantic tv shows",245,4.43
328,hs1017,ingrid goes west,comedy,256,4.43
329,ns2515,the big flower fight,"british tv shows, international tv shows, reality tv",258,4.43
330,as2426,free ride,"drama, suspense",245,4.43
331,ns4277,wolf,"international tv shows, tv action & adventure, tv dramas",248,4.43
332,as3989,the expanse (4k uhd),"science fiction, suspense",255,4.43
333,as8478,club mundo kids,tv shows,249,4.43
334,ns6122,all the devil's men,action & adventure,251,4.43
335,ns6126,alpha and omega: the legend of the saw tooth cave,children & family movies,253,4.43
